t	A	AB	ABC	AC	B	BAC	BC	C CABC
5.838000000000284	0.2669112026841162	4.258228719219611E-5	0.002817234201120286	19.99556157900433	0.2669112026841162	0.002817234201120286	19.99556157900433	3564.28714163888	75.39964118727423
5.839000000000285	0.2669109331670423	4.2571397691784644E-5	0.0028172342143762603	19.995561525050043	0.2669109331670423	0.0028172342143762603	19.995561525050043	3564.2871410779203	75.39964152171035
5.840000000000285	0.26691066426339904	4.256053187462396E-5	0.002817234226900623	19.995561471218757	0.26691066426339904	0.002817234226900623	19.995561471218757	3564.2871405181972	75.3996418553836
5.841000000000285	0.2669103959718128	4.254968968919267E-5	0.002817234239504358	19.995561417510128	0.2669103959718128	0.002817234239504358	19.995561417510128	3564.2871399597725	75.39964218830167
5.842000000000286	0.2669101282908786	4.2538871084136685E-5	0.0028172342518855654	19.995561363923926	0.2669101282908786	0.0028172342518855654	19.995561363923926	3564.2871394025856	75.39964252046023
5.843000000000286	0.26690986121920407	4.252807600816719E-5	0.002817234263786874	19.99556131045999	0.26690986121920407	0.002817234263786874	19.99556131045999	3564.2871388466774	75.39964285186687
5.844000000000286	0.26690959475539805	4.251730441003339E-5	0.0028172342762533523	19.99556125711792	0.26690959475539805	0.0028172342762533523	19.99556125711792	3564.2871382920584	75.39964318251722
5.845000000000287	0.2669093288980796	4.250655623879405E-5	0.002817234288574613	19.9955612038974	0.2669093288980796	0.002817234288574613	19.9955612038974	3564.287137738664	75.39964351241719
5.846000000000287	0.26690906364587497	4.249583144346892E-5	0.0028172343014939067	19.99556115079828	0.26690906364587497	0.0028172343014939067	19.99556115079828	3564.2871371865444	75.39964384156669
5.847000000000287	0.2669087989973942	4.248512997325187E-5	0.002817234313712971	19.995561097820246	0.2669087989973942	0.002817234313712971	19.995561097820246	3564.2871366356826	75.39964416996625
5.848000000000288	0.26690853495126204	4.2474451777389506E-5	0.002817234326019674	19.995561044962987	0.26690853495126204	0.002817234326019674	19.995561044962987	3564.2871360860745	75.39964449762016
5.849000000000288	0.2669082715061186	4.246379680533437E-5	0.0028172343376681834	19.995560992226192	0.2669082715061186	0.0028172343376681834	19.995560992226192	3564.287135537686	75.39964482452939
5.850000000000288	0.2669080086605882	4.245316500635177E-5	0.002817234350674332	19.99556093960974	0.2669080086605882	0.002817234350674332	19.99556093960974	3564.287134990592	75.39964515070004
5.851000000000289	0.26690774641330084	4.244255633029773E-5	0.002817234362624554	19.995560887113243	0.26690774641330084	0.002817234362624554	19.995560887113243	3564.287134444714	75.39964547612365
5.852000000000289	0.2669074847628961	4.2431970726821754E-5	0.0028172343742592972	19.99556083473629	0.2669074847628961	0.0028172343742592972	19.99556083473629	3564.2871339000762	75.39964580081063
5.853000000000289	0.2669072237080202	4.24214081457064E-5	0.0028172343863652615	19.99556078247888	0.2669072237080202	0.0028172343863652615	19.99556078247888	3564.2871333566613	75.39964612475676
5.85400000000029	0.26690696324732077	4.241086853686192E-5	0.002817234399218623	19.995560730340475	0.26690696324732077	0.002817234399218623	19.995560730340475	3564.287132814514	75.39964644796652
5.85500000000029	0.26690670337942	4.2400351850451424E-5	0.002817234411396019	19.995560678321013	0.26690670337942	0.002817234411396019	19.995560678321013	3564.2871322735773	75.39964677044186
5.85600000000029	0.26690644410298686	4.238985803665283E-5	0.002817234423134826	19.995560626420218	0.26690644410298686	0.002817234423134826	19.995560626420218	3564.287131733872	75.39964709218405
5.857000000000291	0.2669061854166707	4.237938704565888E-5	0.002817234435203001	19.99556057463767	0.2669061854166707	0.002817234435203001	19.99556057463767	3564.287131195401	75.3996474131981
5.858000000000291	0.26690592731913554	4.2368938827813266E-5	0.0028172344471701465	19.995560522973303	0.26690592731913554	0.0028172344471701465	19.995560522973303	3564.287130658142	75.39964773347987
5.859000000000291	0.2669056698090247	4.235851333361063E-5	0.002817234459034249	19.99556047142664	0.2669056698090247	0.002817234459034249	19.99556047142664	3564.2871301220935	75.39964805303376
5.860000000000292	0.26690541288499836	4.23481105136326E-5	0.0028172344708782765	19.995560419997364	0.26690541288499836	0.0028172344708782765	19.995560419997364	3564.287129587303	75.39964837185948
5.861000000000292	0.2669051565457394	4.2337730318577055E-5	0.002817234482809414	19.99556036868549	0.2669051565457394	0.002817234482809414	19.99556036868549	3564.2871290536923	75.39964868996452
5.862000000000292	0.26690490078990664	4.2327372699304486E-5	0.002817234494442824	19.99556031749044	0.26690490078990664	0.002817234494442824	19.99556031749044	3564.287128521306	75.39964900734307
5.863000000000293	0.2669046456161663	4.231703760657246E-5	0.002817234506609362	19.995560266412298	0.2669046456161663	0.002817234506609362	19.995560266412298	3564.287127990139	75.39964932399805
5.864000000000293	0.2669043910231918	4.230672499147775E-5	0.0028172345185151493	19.995560215450567	0.2669043910231918	0.0028172345185151493	19.995560215450567	3564.2871274601625	75.39964963993803
5.865000000000293	0.2669041370096719	4.2296434805154456E-5	0.002817234530129296	19.995560164605052	0.2669041370096719	0.002817234530129296	19.995560164605052	3564.2871269314105	75.39964995515787
5.866000000000294	0.2669038835742904	4.228616699882567E-5	0.002817234542094667	19.99556011387539	0.2669038835742904	0.002817234542094667	19.99556011387539	3564.2871264038317	75.39965026965919
5.867000000000294	0.2669036307157156	4.227592152388157E-5	0.002817234553714387	19.995560063261344	0.2669036307157156	0.002817234553714387	19.995560063261344	3564.2871258774635	75.39965058344849
5.868000000000294	0.2669033784326293	4.22656983317115E-5	0.002817234565357519	19.995560012762795	0.2669033784326293	0.002817234565357519	19.995560012762795	3564.2871253522985	75.39965089652404
5.869000000000295	0.26690312672374356	4.225549737378309E-5	0.0028172345774018083	19.995559962379396	0.26690312672374356	0.0028172345774018083	19.995559962379396	3564.287124828311	75.39965120888633
5.870000000000295	0.26690287558773124	4.224531860187597E-5	0.0028172345888014304	19.995559912110785	0.26690287558773124	0.0028172345888014304	19.995559912110785	3564.287124305541	75.39965152053911
