t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
0.001398667808387866	0.9005491460941877	5.6674164503705925E-5	1.3885678485149727E-4	44.950030039647714	0.9005491460941877	1.3885678485149738E-4	44.950030039647714	16909.00799222235	0.0458349923918742
0.0015481782768351619	0.8905586005908693	6.134267173153541E-5	1.5149932003727935E-4	49.455605152524484	0.8905586005908693	1.514993200372796E-4	49.455605152524484	16899.966724588143	0.06088105408289875
0.0016976887452824579	0.8806857604878238	6.577739132989879E-5	1.637260941468527E-4	53.90515526914547	0.8806857604878238	1.6372609414685285E-4	53.90515526914547	16891.031815860275	0.07877307462182663
0.0018471992137297538	0.8709291229522101	6.998658467995092E-5	1.755605305334304E-4	58.29915163329413	0.8709291229522101	1.7556053053343067E-4	58.29915163329413	16882.201912888635	0.09971636185647813
0.00199670968217705	0.8612872068362425	7.397825012264508E-5	1.8702536022953287E-4	62.638064520743825	0.8612872068362425	1.8702536022953325E-4	62.638064520743825	16873.475681917396	0.12390749519779354
0.002146220150624346	0.851758552309091	7.776013109178699E-5	1.9814256959684785E-4	66.9223631891541	0.851758552309091	1.981425695968481E-4	66.9223631891541	16864.85180825898	0.1515345387862049
0.0022957306190716418	0.8423417204952784	8.133972402686479E-5	2.0893340053548538E-4	71.1525158281456	0.8423417204952784	2.0893340053548552E-4	71.1525158281456	16856.328995973843	0.18277725153290258
0.0024452410875189378	0.8330352931206302	8.472428603059562E-5	2.1941841926080463E-4	75.32898950958511	0.8330352931206302	2.1941841926080484E-4	75.32898950958511	16847.905967556966	0.21780729351132097
0.0025947515559662337	0.8238378721659984	8.792084226508045E-5	2.2961753666575588E-4	79.45225013813115	0.8238378721659984	2.2961753666575618E-4	79.45225013813115	16839.5814636311	0.2567884287825637
0.0027442620244135297	0.8147480795281087	9.093619311140798E-5	2.395499950269133E-4	83.52276240210685	0.8147480795281087	2.3954999502691357E-4	83.52276240210685	16831.354242646106	0.29987672484379946
