	time(s)		A copies
   1.2738113e-04   9.1094048e+04
   1.3035122e-04   9.0905276e+04
   1.3339057e-04   9.0712911e+04
   1.3650078e-04   9.0516902e+04
   1.3968351e-04   9.0317198e+04
   1.4294045e-04   9.0113747e+04
   1.4627334e-04   8.9906499e+04
   1.4968393e-04   8.9695404e+04
   1.5317405e-04   8.9480410e+04
   1.5674554e-04   8.9261468e+04
   1.6040031e-04   8.9038527e+04
   1.6414030e-04   8.8811538e+04
   1.6796749e-04   8.8580452e+04
   1.7188391e-04   8.8345219e+04
   1.7589166e-04   8.8105791e+04
   1.7999285e-04   8.7862120e+04
   1.8418967e-04   8.7614159e+04
   1.8848434e-04   8.7361861e+04
   1.9287915e-04   8.7105181e+04
   1.9737643e-04   8.6844072e+04
   2.0197858e-04   8.6578491e+04
   2.0668802e-04   8.6308394e+04
   2.1150728e-04   8.6033738e+04
   2.1643891e-04   8.5754482e+04
   2.2148552e-04   8.5470585e+04
   2.2664981e-04   8.5182009e+04
   2.3193451e-04   8.4888714e+04
   2.3734243e-04   8.4590664e+04
   2.4287644e-04   8.4287823e+04
   2.4853949e-04   8.3980159e+04
   2.5433458e-04   8.3667637e+04
   2.6026479e-04   8.3350227e+04
   2.6633327e-04   8.3027899e+04
   2.7254325e-04   8.2700627e+04
   2.7889803e-04   8.2368384e+04
   2.8540098e-04   8.2031147e+04
   2.9205555e-04   8.1688894e+04
   2.9886529e-04   8.1341605e+04
   3.0583380e-04   8.0989261e+04
   3.1296480e-04   8.0631849e+04
   3.2026207e-04   8.0269354e+04
   3.2772948e-04   7.9901766e+04
   3.3537102e-04   7.9529076e+04
   3.4319072e-04   7.9151279e+04
   3.5119275e-04   7.8768370e+04
   3.5938137e-04   7.8380350e+04
   3.6776091e-04   7.7987221e+04
   3.7633584e-04   7.7588987e+04
   3.8511070e-04   7.7185657e+04
   3.9409016e-04   7.6777240e+04
   4.0327900e-04   7.6363751e+04
   4.1268208e-04   7.5945206e+04
   4.2230442e-04   7.5521626e+04
   4.3215111e-04   7.5093033e+04
   4.4222740e-04   7.4659455e+04
