	time(us)     A(t)              StDev(A)
   2.7300000e-02   2.5250000e+01   5.0840757e+00
   2.7400000e-02   2.5083333e+01   5.0554892e+00
   2.7500000e-02   2.5000000e+01   4.9343516e+00
   2.7600000e-02   2.4875000e+01   4.8928741e+00
   2.7700000e-02   2.4708333e+01   4.7865679e+00
   2.7800000e-02   2.4708333e+01   4.7865679e+00
   2.7900000e-02   2.4458333e+01   4.7455166e+00
   2.8000000e-02   2.4333333e+01   4.8154341e+00
   2.8100000e-02   2.4291667e+01   4.8227646e+00
   2.8200000e-02   2.4291667e+01   4.8227646e+00
   2.8300000e-02   2.4208333e+01   4.8272701e+00
   2.8400000e-02   2.4208333e+01   4.8272701e+00
   2.8500000e-02   2.4125000e+01   4.7941314e+00
   2.8600000e-02   2.4000000e+01   4.7912965e+00
   2.8700000e-02   2.3916667e+01   4.7081490e+00
   2.8800000e-02   2.3916667e+01   4.7081490e+00
   2.8900000e-02   2.3625000e+01   4.5282927e+00
   2.9000000e-02   2.3583333e+01   4.5100532e+00
   2.9100000e-02   2.3500000e+01   4.3638834e+00
   2.9200000e-02   2.3500000e+01   4.3638834e+00
   2.9300000e-02   2.3416667e+01   4.2825903e+00
   2.9400000e-02   2.3333333e+01   4.2800515e+00
   2.9500000e-02   2.3333333e+01   4.2800515e+00
   2.9600000e-02   2.3250000e+01   4.2656362e+00
   2.9700000e-02   2.3250000e+01   4.2656362e+00
   2.9800000e-02   2.3208333e+01   4.2115696e+00
   2.9900000e-02   2.3125000e+01   4.1735450e+00
   3.0000000e-02   2.2958333e+01   4.1228859e+00
   3.0100000e-02   2.2916667e+01   4.0851445e+00
   3.0200000e-02   2.2833333e+01   4.1979981e+00
   3.0300000e-02   2.2791667e+01   4.2218805e+00
   3.0400000e-02   2.2750000e+01   4.2040353e+00
   3.0500000e-02   2.2666667e+01   4.1876284e+00
   3.0600000e-02   2.2625000e+01   4.2201638e+00
   3.0700000e-02   2.2500000e+01   4.2014490e+00
   3.0800000e-02   2.2500000e+01   4.2014490e+00
   3.0900000e-02   2.2375000e+01   4.1787506e+00
   3.1000000e-02   2.2333333e+01   4.1563641e+00
   3.1100000e-02   2.2208333e+01   4.0964371e+00
   3.1200000e-02   2.2083333e+01   4.0957737e+00
