iter A R
117800000 0 662
117900000 0 666
118000000 0 673
118100000 0 666
118200000 1 660
118300000 3 649
118400000 1 644
118500000 0 643
118600000 0 637
118700000 1 633
118800000 0 630
118900000 0 629
119000000 1 634
119100000 0 629
119200000 0 621
119300000 0 632
119400000 1 633
119500000 0 616
119600000 2 610
119700000 1 609
119800000 0 604
119900000 1 600
120000000 0 596
120100000 0 599
120200000 0 601
120300000 1 594
120400000 1 572
120500000 0 565
120600000 2 561
120700000 2 545
120800000 5 527
120900000 0 502
121000000 1 494
121100000 1 491
121200000 0 478
121300000 3 480
121400000 1 472
121500000 0 471
121600000 0 475
121700000 0 475
121800000 2 476
121900000 1 474
122000000 3 466
122100000 2 461
122200000 0 454
122300000 1 445
122400000 2 433
122500000 2 420
122600000 2 409
122700000 2 404
122800000 0 394
122900000 2 396
123000000 0 393
123100000 0 391
123200000 0 388
123300000 0 384
123400000 0 390
123500000 0 399
123600000 1 399
123700000 2 392
123800000 3 386
123900000 2 358
124000000 4 347
124100000 0 336
124200000 5 328
124300000 4 314
124400000 5 316
124500000 4 306
124600000 2 304
124700000 0 300
124800000 3 287
124900000 2 275
125000000 3 270
125100000 0 274
125200000 5 267
125300000 3 260
125400000 2 262
125500000 3 247
125600000 1 252
125700000 3 253
125800000 2 253
125900000 2 249
126000000 2 256
126100000 2 256
126200000 3 252
126300000 1 250
126400000 2 248
126500000 0 250
126600000 1 260
126700000 2 261
126800000 1 259
126900000 4 264
127000000 0 258
127100000 3 259
127200000 5 258
127300000 2 241
127400000 2 240
127500000 4 240
127600000 4 229
127700000 2 229
127800000 5 224
127900000 2 222
128000000 5 216
128100000 10 199
128200000 16 168
128300000 11 137
128400000 6 122
128500000 7 123
128600000 3 131
128700000 10 137
128800000 5 134
128900000 4 132
129000000 3 136
129100000 4 144
129200000 2 145
129300000 3 150
129400000 4 156
129500000 2 161
129600000 3 162
129700000 2 177
129800000 0 183
129900000 2 193
130000000 2 207
130100000 2 206
130200000 1 198
130300000 4 203
130400000 5 210
130500000 5 212
130600000 5 211
130700000 7 201
130800000 7 193
130900000 5 180
131000000 8 168
131100000 8 158
131200000 14 151
131300000 18 138
131400000 16 104
131500000 28 76
131600000 38 58
131700000 40 41
131800000 27 30
131900000 40 24
132000000 45 19
132100000 55 18
132200000 77 16
132300000 85 14
132400000 107 14
132500000 118 14
132600000 127 10
132700000 141 11
132800000 157 5
132900000 177 6
133000000 211 7
133100000 262 5
133200000 312 2
133300000 360 3
133400000 397 3
133500000 425 2
133600000 450 3
133700000 486 5
133800000 526 6
133900000 552 1
134000000 602 2
134100000 631 1
134200000 641 3
134300000 644 2
134400000 660 1
134500000 679 2
134600000 694 2
134700000 729 2
134800000 762 1
134900000 811 1
135000000 839 1
135100000 889 1
135200000 909 0
135300000 927 2
135400000 947 1
135500000 924 0
135600000 943 4
135700000 1007 3
135800000 1068 3
135900000 1088 1
136000000 1071 0
136100000 1080 3
136200000 1082 0
136300000 1070 3
136400000 1055 2
136500000 1100 3
136600000 1108 0
136700000 1141 1
136800000 1180 2
136900000 1214 1
137000000 1248 1
137100000 1271 1
137200000 1292 1
137300000 1320 0
137400000 1332 1
137500000 1354 3
137600000 1385 2
137700000 1416 1
137800000 1433 1
137900000 1425 0
138000000 1414 1
138100000 1408 2
138200000 1378 3
138300000 1319 0
138400000 1324 0
138500000 1320 2
138600000 1290 0
138700000 1284 6
138800000 1269 3
138900000 1240 2
139000000 1217 7
139100000 1173 1
139200000 1147 1
139300000 1146 4
139400000 1154 2
139500000 1141 3
139600000 1094 5
139700000 1054 2
139800000 1029 2
139900000 1010 5
140000000 984 4
140100000 966 7
140200000 911 1
140300000 898 2
140400000 909 5
140500000 910 2
140600000 917 6
140700000 905 4
140800000 876 2
140900000 872 1
141000000 878 3
141100000 872 1
141200000 879 4
141300000 881 4
141400000 888 5
141500000 894 5
141600000 880 4
141700000 877 4
141800000 878 4
141900000 859 3
142000000 843 6
142100000 824 9
142200000 805 7
142300000 800 4
142400000 808 7
142500000 794 4
142600000 773 5
142700000 770 4
142800000 744 4
142900000 731 6
143000000 685 3
143100000 650 6
143200000 626 4
143300000 587 5
143400000 568 8
143500000 509 4
143600000 505 3
143700000 521 7
143800000 503 11
143900000 445 11
144000000 403 6
144100000 396 13
144200000 344 14
144300000 293 23
144400000 228 23
144500000 182 27
144600000 155 30
144700000 124 25
144800000 102 38
144900000 78 48
145000000 67 54
145100000 36 82
145200000 18 122
145300000 8 174
145400000 2 233
145500000 4 299
145600000 0 369
145700000 1 428
145800000 1 488
145900000 0 548
146000000 1 608
146100000 3 665
146200000 0 711
146300000 1 760
146400000 0 795
146500000 0 833
146600000 0 875
146700000 0 908
146800000 2 936
146900000 0 954
147000000 0 966
147100000 1 999
147200000 1 1024
147300000 0 1060
147400000 1 1085
147500000 0 1096
147600000 1 1127
147700000 0 1128
147800000 0 1141
147900000 0 1162
148000000 1 1173
148100000 2 1180
148200000 0 1200
148300000 2 1203
148400000 1 1200
148500000 0 1207
148600000 0 1218
148700000 2 1226
148800000 1 1218
148900000 0 1212
149000000 1 1207
149100000 0 1200
149200000 1 1182
149300000 2 1178
149400000 0 1169
149500000 0 1169
149600000 1 1161
149700000 0 1157
149800000 1 1150
149900000 0 1157
150000000 1 1167
150100000 3 1170
150200000 0 1172
150300000 0 1178
